feature,importance,is_audio
patient_wake_ratio,0.05545776,False
patient_acc_median,0.042702246,False
time_since_start_min,0.027985448,False
patient_acc_mean,0.025515413,False
patient_gyro_mean,0.023209538,False
ay_mean,0.021205982,False
movement_bout_count,0.020146815,False
acc_mag,0.018551063,False
ay_max,0.017649068,False
ay_dominance,0.016532974,False
az_mean,0.016410489,False
ax_mean,0.015433994,False
az_min,0.015425991,False
sleep_cycle_sin,0.014969551,False
sleep_cycle_cos,0.014687612,False
tempC_mean,0.014516133,False
ax_dominance,0.013867118,False
patient_gyro_std,0.013460581,False
patient_acc_std,0.013379225,False
ax_max,0.01326696,False
ax_ay_ratio,0.012657223,False
acc_mag_rolling_mean_5,0.012534333,False
stillness_duration,0.011515624,False
tempC_min,0.01145356,False
tempC_max,0.011066328,False
tilt_estimate,0.010767856,False
ay_min,0.010462699,False
acc_mag_normalized,0.009576101,False
az_dominance,0.009482515,False
ax_min,0.009482326,False
gyro_mag,0.009209314,False
gx_mean,0.008820987,False
spectral_centroid_normalized,0.008791135,True
az_max,0.008551267,False
crest_variability,0.0084340945,True
spectral_stability,0.008231401,True
energy_rolling_std,0.007937426,True
gy_min,0.007471375,False
acc_vs_patient_median,0.0073154783,False
activity_variability,0.0072470373,True
acc_mag_rolling_std_5,0.0068327636,False
high_ratio,0.0065675844,False
energy_rolling_mean,0.0064317225,True
snoring_normalized,0.00626347,True
snoring_variability,0.0061051096,True
gz_mean,0.0060315807,False
breathing_stability,0.0056974236,True
acc_percentile,0.005660855,False
spectral_richness,0.005553215,True
acc_mag_rolling_mean_3,0.0055240295,False
acc_mag_max,0.0054359245,False
low_ratio,0.0054153455,False
movement_ratio,0.005361566,False
mid_ratio,0.0053350776,False
total_movement,0.005254567,False
total_movement_prev,0.005008924,False
mid_power,0.0050052027,False
silence_ratio,0.0049820864,True
zcr_mean,0.0049028504,True
energy_std,0.0048787384,True
high_power,0.0048264284,False
snoring_power,0.0046371464,True
snoring_percentile,0.0045345314,True
energy_peak_ratio,0.0044738776,True
energy_max,0.004435748,True
gz_max,0.0044138846,False
breathing_rate_variability,0.0043949205,True
relative_activity,0.0042894254,False
crest_factor,0.0042805313,True
rms_energy,0.0042432486,True
acc_mag_rolling_std_3,0.004195489,False
total_movement_std,0.0041736416,False
gz_std,0.004094934,False
acc_mag_prev,0.004090989,False
gyro_mag_prev,0.0040892838,False
gyro_mag_std,0.0039866134,False
zcr,0.0038903211,True
acc_mag_min,0.0038616722,False
gx_std,0.003858493,False
breathing_depth_score,0.0038445648,True
gyro_mag_normalized,0.00383173,False
spectral_spread,0.003806059,True
very_low_ratio,0.003798524,False
movement_balance,0.0037499466,False
energy_variability,0.0037479126,True
az_std,0.0037153543,False
gx_max,0.0036325392,False
breathing_normalized,0.0036323054,True
mic_rms_mean,0.0035959873,True
low_power,0.0035444223,False
gy_max,0.0035363424,False
tempC_std,0.0035269961,False
gy_std,0.0035230555,False
acc_mag_diff,0.0035230285,False
mic_rms_min,0.003451834,True
zcr_min,0.0034432209,True
acc_coefficient_of_variation,0.0034408064,False
position_change_indicator,0.0034046913,False
snoring_amplitude,0.0033696622,True
zcr_max,0.003365768,True
gyro_mag_min,0.0033600396,False
peak_to_rms_ratio,0.0033074256,True
gyro_mag_diff_abs,0.003278616,False
gx_min,0.0032762738,False
gyro_range,0.0032555372,False
breathing_amplitude,0.0032551277,True
breathing_percentile,0.0032535414,True
breathing_diff_prev,0.0032452245,True
low_to_high_ratio,0.0032277768,False
acc_mag_std,0.0031641256,False
peak_to_peak,0.0031042576,True
breathing_ratio,0.003100435,True
energy_diff_prev,0.00309946,True
ax_std,0.003053773,False
spectral_bandwidth,0.0030047663,True
mic_rms_max,0.003002589,True
acc_range,0.003001305,False
breathing_abs_diff,0.002976551,True
snoring_to_breathing_ratio,0.0029504045,True
acc_mag_diff_abs,0.0029224982,False
snoring_diff_prev,0.0029216022,True
snoring_ratio,0.0029144927,True
impulsiveness_score,0.0028894977,False
mid_to_total_ratio,0.002860251,False
mic_rms_std,0.002834879,True
gyro_mag_diff,0.0027723843,False
ay_std,0.0027669212,False
gyro_percentile,0.00267245,False
spectral_flatness,0.0026217597,True
gyro_mag_max,0.002587251,False
spectral_rolloff,0.002573728,True
spectral_tilt,0.0025723404,True
gy_mean,0.002525481,False
spectral_centroid_diff,0.0025210471,True
very_low_power,0.0025121544,False
snoring_intensity,0.0024882967,True
spectral_complexity,0.0024258476,True
frequency_center_of_mass,0.002413987,False
zcr_std,0.002390712,True
gz_min,0.0023386928,False
activity_ratio,0.0023154956,True
breathing_power,0.0022983416,True
spectral_centroid,0.0021862225,True
gyro_coefficient_of_variation,0.0018920751,False
breathing_to_movement_ratio,0.0017491921,True
snoring_to_total_ratio,0.00022917318,True
total_to_rms_ratio,0.0,False
is_stillness,0.0,False
is_breathing_dominant,0.0,True
total_energy,0.0,True
breathing_to_total_ratio,0.0,True
is_movement_bout,0.0,False
silence_streak,0.0,True
num_position_changes,0.0,False
is_high_energy,0.0,True
sleep_cycle_phase,0.0,False
activity_silence_ratio,0.0,True
is_high_variability,0.0,False
is_very_still,0.0,False
breathing_rolling_std_5,0.0,True
is_snoring_epoch,0.0,True
is_silent,0.0,False
is_snoring_dominant,0.0,True
